ITINERARY_ID,SEQ,TITLE,CONTENT
388201,2,Cruise Name,Tropical Discoveries
388201,4,Adults Only,Please see A-Z Guide.
388201,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
388203,1,Ship Name,Marella Discovery 2
388203,2,Cruise Name,Tropical Discoveries
388203,4,Adults Only,Please see A-Z Guide.
388203,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
388205,1,Ship Name,Marella Discovery 2
388205,2,Cruise Name,Atlantic Discoveries
388205,4,Adults Only,Please see A-Z Guide.
388205,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
388205,100,Please Note,* Tender to shore
388205,100,Combine with,Cuban Fusion for a 25-night itinerary
388207,1,Ship Name,Marella Discovery 2
388207,2,Cruise Name,Atlantic Discoveries
388207,4,Adults Only,Please see A-Z Guide.
388207,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
388207,100,Please Note,* Tender to shore
388207,100,Combine with,Cuban Fusion for a 25-night itinerary
388209,1,Ship Name,Marella Discovery 2
388209,2,Cruise Name,Atlantic Discoveries
388209,4,Adults Only,Please see A-Z Guide.
388209,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
388209,100,Please Note,* Tender to shore
388209,100,Combine with,Cuban Fusion for a 25-night itinerary
388211,1,Ship Name,Marella Discovery 2
388211,2,Cruise Name,Atlantic Discoveries
388211,4,Adults Only,Please see A-Z Guide.
388211,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
388211,100,Please Note,* Tender to shore
388211,100,Combine with,Cuban Fusion for a 25-night itinerary
373463,1,Ship Name,Marella Discovery 2
373463,2,Cruise Name,Tropical Discoveries
373463,4,Adults Only,Please see A-Z Guide.
373463,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
373473,1,Ship Name,Marella Discovery 2
373473,2,Cruise Name,Atlantic Discoveries
373473,4,Adults Only,Please see A-Z Guide.
373473,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
373473,100,Please Note,* Tender to shore
373473,100,Combine with,Cuban Fusion for a 25-night itinerary
307685,1,Ship Name,Marella Discovery 2
307685,2,Cruise Name,Aegean Shores
307685,7,Key Features - Itinerary,<ul><li>Thira&#8217;s turquoise-tipped houses</li><li>Vibrant Mykonos Town</li><li>Athen&#8217;s ancient ruins</li></ul>
307685,100,Please Note,*Tender to shore<br /><br />Just to you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
307685,100,Combine with,Adriatic Explorer
307685,100,Add stay,3 or 7-night stay in Corfu
307691,1,Ship Name,Marella Discovery 2
307691,2,Cruise Name,Adriatic Explorer
307691,7,Key Features - Itinerary,<ul><li>The sweeping bay of Koper</li><li>Split&#8217;s old town</li><li>Kotor&#8217;s river canyon</li></ul>
307691,100,Combine with,Aegean Shores Iconic Islands or Aegean Meze
307691,100,Add stay,3 or 7-night stay in Corfu
307691,100,Please Note,Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
307697,1,Ship Name,Marella Discovery 2
307697,2,Cruise Name,Iconic Islands
307697,7,Key Features - Itinerary,<ul><li>Rhodes&#8217; time-capsule old town</li><li>Chania&#8217;s textbook beaches</li><li>Ice-white sand in Zante</li></ul>
307697,100,Please Note,*Tender to shore<br /><br />Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
307697,100,Combine with,Adriatic Explorer
307697,100,Add stay,3 or 7-night stay in Corfu
307703,1,Ship Name,Marella Discovery 2
307703,2,Cruise Name,Aegean Meze
307703,7,Key Features - Itinerary,<ul><li>Historical sites in Skiathos</li><li>Ephesus&#8217; Temple of Artemis</li><li>Kefalonia&#8217;s rugged coastline</li></ul>
307703,100,Please Note,*Tender to shore<br /><br />Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
307703,100,Combine with,Adriatic Explorer
307703,100,Add stay,3 or 7-night stay in Corfu
307709,1,Ship Name,Marella Discovery 2
307709,2,Cruise Name,Iconic Italia
307709,7,Key Features - Itinerary,<ul><li>Historic Rome</li><li>Canoli tasting in Messina</li><li>The Spartan City of Taranto</li></ul>
299689,1,Ship Name,Marella Discovery 2
299689,2,Cruise Name,Tropical Discoveries
299689,4,Adults Only,Please see A-Z Guide.
299689,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
299695,1,Ship Name,Marella Discovery 2
299695,2,Cruise Name,Tropical Discoveries
299695,4,Adults Only,Please see A-Z Guide.
299695,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
299699,1,Ship Name,Marella Discovery 2
299699,2,Cruise Name,Atlantic Discoveries
299699,4,Adults Only,Please see A-Z Guide.
299699,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
299699,100,Please Note,* Tender to shore
299699,100,Combine with,Cuban Fusion for a 25-night itinerary
299705,1,Ship Name,Marella Discovery 2
299705,2,Cruise Name,Atlantic Discoveries
299705,4,Adults Only,Please see A-Z Guide.
299705,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
299705,100,Please Note,* Tender to shore
299705,100,Combine with,Cuban Fusion for a 25-night itinerary
308175,1,Ship Name,Marella Discovery 2
308175,2,Cruise Name,Cuban Fusion
308175,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
308175,100,Please Note,* Tender to shore
389235,1,Ship Name,Marella Discovery 2
389235,2,Cruise Name,Cuban Fusion
389235,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
389235,100,Please Note,* Tender to shore
389237,1,Ship Name,Marella Discovery 2
389237,2,Cruise Name,Cuban Fusion
389237,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
389237,100,Please Note,* Tender to shore
389239,1,Ship Name,Marella Discovery 2
389239,2,Cruise Name,Cuban Fusion
389239,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
389239,100,Please Note,* Tender to shore
389241,1,Ship Name,Marella Discovery 2
389241,2,Cruise Name,Cuban Fusion
389241,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
389241,100,Please Note,* Tender to shore
389243,1,Ship Name,Marella Discovery 2
389243,2,Cruise Name,Pride of Panama
389243,3,Itinerary variation,Click the CHECK PRICES button for this date to see the full itinerary details.
389243,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay</li><li>Panama Canal</li><li>Kayaking Gatun Lake</li></ul>
375747,1,Ship Name,Marella Discovery 2
375747,2,Cruise Name,Pride of Panama
388125,1,Ship Name,Marella Discovery 2
388125,2,Cruise Name,Canarian Flavours
388127,1,Ship Name,Marella Discovery 2
388127,2,Cruise Name,Canarian Flavours
388129,1,Ship Name,Marella Discovery 2
388129,2,Cruise Name,Canarian Flavours
388131,1,Ship Name,Marella Discovery 2
388131,2,Cruise Name,Canarian Flavours
388133,1,Ship Name,Marella Discovery 2
388133,2,Cruise Name,Cuban Fusion
388133,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
388133,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
388133,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388133,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
388133,100,Combine with,Exotic Explorer or Pride of Panama
388133,100,Add stay,7-night stay in Jamaica
388135,1,Ship Name,Marella Discovery 2
388135,2,Cruise Name,Cuban Fusion
388135,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
388135,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
388135,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388135,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
388135,100,Combine with,Exotic Explorer or Pride of Panama
388135,100,Add stay,7-night stay in Jamaica
388137,1,Ship Name,Marella Discovery 2
388137,2,Cruise Name,Cuban Fusion
388137,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
388137,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
388137,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388137,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
388137,100,Combine with,Exotic Explorer or Pride of Panama
388137,100,Add stay,7-night stay in Jamaica
388139,1,Ship Name,Marella Discovery 2
388139,2,Cruise Name,Cuban Fusion
388139,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
388139,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
388139,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388139,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
388139,100,Combine with,Exotic Explorer or Pride of Panama
388139,100,Add stay,7-night stay in Jamaica
388141,1,Ship Name,Marella Discovery 2
388141,2,Cruise Name,Exotic Explorer
388141,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
388141,100,Combine with,Cuban Fusion
388141,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388141,100,Add stay,7-night stay in Jamaica
388143,1,Ship Name,Marella Discovery 2
388143,2,Cruise Name,Exotic Explorer
388143,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
388143,100,Combine with,Cuban Fusion
388143,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388143,100,Add stay,7-night stay in Jamaica
388145,1,Ship Name,Marella Discovery 2
388145,2,Cruise Name,Exotic Explorer
388145,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
388145,100,Combine with,Cuban Fusion
388145,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388145,100,Add stay,7-night stay in Jamaica
388147,1,Ship Name,Marella Discovery 2
388147,2,Cruise Name,Exotic Explorer
388147,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
388147,100,Combine with,Cuban Fusion
388147,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
388147,100,Add stay,7-night stay in Jamaica
388149,1,Ship Name,Marella Discovery 2
388149,2,Cruise Name,Pride of Panama
388149,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
